dataset,filename,gt_count,pred_count,miou,dice,precision,recall,acc,hd95,mae,nsd
UHCS,uhcs_A_micrograph1006.png,294,937,0.46293462776341476,0.6328849136221012,0.5279181708784597,0.7899522823444675,0.9017755476213452,20.223748416156685,107.16666666666667,0.664276916274516
Super,super_45kx_SE_15kV-etched_0.png,148,4,0.026680216537356603,0.05065733570318037,0.04805147265866982,0.05356204047363094,0.07171249389648438,373.00452806724303,72.0,0.4467290626060812
EBC,ebc_010417_4_S2480009.png,11,280,0.00023795637870195228,0.00047568637219085573,0.000299462492050632,0.0011558895726150845,0.44741058349609375,1002.7587928992734,142.5,0.01981023876550933
MetalDAM,metaldam_micrograph1.png,401,1014,0.00042851087503642673,0.0008555552910871503,0.0032217906583009662,0.0004932725853277708,0.20456136646514936,936.8700255222482,202.75,0.16735270044246214
Aachen-Heerlen,aachen_heerlen_IMG_00004.png,4,664,0.07684782193715878,0.14272735733247063,0.08231607573712837,0.5363554608133764,0.7540270487467448,440.6515062486471,660,0.04883027730105682
EMPS,emps_01ac659240.png,6,53,0.44352830501909135,0.6145058652150579,0.6815476190476191,0.5594722881474242,0.9665406729131175,242.6122913003351,47,0.5153985507246377
Grain,grain_A_01_04.png,14,45,0.7839200087183958,0.8788734975640301,0.9769123688588599,0.7987175216522319,0.801725,40.80441152620633,31,0.48283038501560877
ALL,AVERAGE,125.42857142857143,428.14285714285717,0.25636820674702226,0.3315686015857312,0.33146670861872696,0.3913869650841534,0.5925361018769907,436.7036148543014,180.3452380952381,0.3350325901614103
